old_title,new_title,old_handle,new_handle,old_seo_title,new_seo_title,old_seo_description,new_seo_description,products_count,product_sample,updated,error
Akcesoria dla mam,Akcesoria dla mamy,akcesoria-dla-mam,akcesoria-dla-mam,,Akcesoria dla mamy do szpitala | MamaPack,,"Teczki na dokumenty, gumki do włosów i małe butelki podróżne dla mamy do szpitala i codziennej organizacji.",3,Teczka na dokumenty -  rozmiar A4 - (mix kolorów) | Gumki do włosów elastyczne (3 szt.) | Zestaw plastikowych butelek na produkty higieniczne (9 szt.),True,
Akcesoria do paznokci,Akcesoria do paznokci dla niemowląt,pielegnacja-w-domu,akcesoria-do-paznokci-dla-niemowlat,Akcesoria do pielęgnacji noworodka,Akcesoria do paznokci dla niemowląt | MamaPack,"Niezbędne akcesoria do pielęgnacji noworodka w domu. Nożyczki, szczotki, termometry, ziołowe kąpiele.","Nożyczki, cążki i zestawy manicure dla niemowląt. Bezpieczne akcesoria do delikatnej pielęgnacji paznokci dziecka.",10,AKUKU A0418 - NOŻYCZKI - do paznokci | AKUKU A0040 - ZESTAW DO MANICURE | AKUKU A0473 - Zestaw do pielęgnacji -  (APPLE CASE) - SZARY | B.O.398/03 - Zestaw do pielęgnacji paznokci - Dla dzieci i niemowląt - (SZARY) TAKE CARE | CANPOL 9/814 - Zestaw pielęgnacyjny - do paznokci - dla niemowląt i dzieci - RÓŻOWY | AKUKU A0015 - Zestaw pielęgnacyjny - Grey HOOLIGANS | AKUKU A0308 -  Zestaw manicure - NIEBIESKI | AKUKU A0458 -  Zestaw manicure - różowy,True,
Butelki ze smoczkiem,Butelki i akcesoria do karmienia,smoczki-do-butelek-butelki,butelki-i-akcesoria-do-karmienia,Butelki i smoczki dla niemowląt,Butelki i akcesoria do karmienia | MamaPack,Praktyczne butelki i smoczki dla niemowląt. Warto mieć w domu na wszelki wypadek.,"Butelki antykolkowe, smoczki do butelek i szczotki do czyszczenia. Wybierz akcesoria do karmienia niemowląt.",17,LOVI Love Mummy ZESTAW dla niemowląt: BUTELKA 150 ml + SMOCZEK uspokajający (0+ | AVENT-ZESTAW:  Butelka dla niemowląt 125 ml + SMOCZEK uspokajający 0m+ (2 szt.) | AKUKU A0338 - Szczotka do butelek | AKUKU A0573 - Szczotka do butelek Miś - (RÓŻOWA) | B.O.721/03 - Szczotka do butelek i smoczków - z mini szczoteczką - SZARA | Akuku A0004 - Butelka do karmienia - (125ml) | CANPOL 35/242(3) - BUTELKA antykolkowa - EasyStart MOUNTAINS BEIGE - (120ml / 240ml) | CANPOL 35/242(3) - BUTELKA antykolkowa - EasyStart MOUNTAINS - GREEN - (120ml / 240ml),True,
Chusteczki nawilżane,Chusteczki nawilżane dla niemowląt,wlokniaste-chusteczki,chusteczki-nawilzane-dla-niemowlat,Nawilżane chusteczki dla niemowląt,Chusteczki nawilżane dla niemowląt | MamaPack,Praktyczne chusteczki nawilżane do przemywania dziecka w szpitalu.,"Chusteczki wodne, pielęgnacyjne i bambusowe ręczniki dla niemowląt. Delikatne produkty do szybkiej higieny dziecka.",11,CANPOL 1/661 -  Ręczniki bambusowe dla niemowląt i dzieci (20x20cm) - 120szt. | Luba Tuli - chusteczki nawilżane dla dzieci - z aloesem-  (60 szt.) | AKUKU A0031 - Jednorazowe chusteczki nawilżane wodą - (70 szt.) | BELLA Baby Happy Chusteczki nasączone - wit.E i Alantoina - (64 szt.) | KINDII (HAR02DZ040) - PURE WATER 99% - CHUSTECZKI Wodne 60 szt. | BAMBOOLOVE - Chusteczki nawilżane - Bambusowe - (60 szt.) | OLA BABY - Chusteczki nawilżane z alantoiną - (72 szt.) | CHICCO - Chusteczki Pielęgnacyjne - (72szt)  0m+,True,
Dla dziecka,Dla dziecka,forbaby,dla-dziecka,,Produkty dla dziecka i noworodka | MamaPack,,"Produkty dla dziecka: higiena, kąpiel, pielęgnacja, karmienie i akcesoria dla noworodka od pierwszych dni.",216,ROZTWÓR FIZJOLOGICZNY - INhalacja soli - 5 AMPUŁEK | Kindii Pure -  Płatki Bawełniane Kosmetyczne Dla Niemowląt - (60szt) | Chusteczki dezynfekcyjne nasączone alkoholem 70% - (30 x 30 mm) - 4 szt. | Pieluszka tetrowa - DRUK - (70X80) - mix kolorów | AKUKU A0307 - Szczotka i grzebień - z naturalnym włosiem -  BIAŁA | Bobini Baby - Żel do mycia ciała i włosów dla niemowląt - 2w1 - (300ml) | Akuku A0394 - Termometr pływający do kąpieli - Żyrafa | Luba Tuli - chusteczki nawilżane dla dzieci - z aloesem-  (60 szt.),True,
Dla mamy,Dla mamy,formam,dla-mamy,,Produkty dla mamy do szpitala i po porodzie | MamaPack,,"Produkty dla mamy: higiena poporodowa, laktacja, odzież, kosmetyki i akcesoria przydatne w szpitalu oraz w domu.",100,"BELLA - Podkład higieniczny MAMMA - 34x11 cm z folią - (10 szt.) | BELLA - Wkładki laktacyjne MAMMA - (30 szt.) | AKUKU A0549(50, 51, 52) - Majtki jednorazowe poporodowe - (5 szt.) | BELLA chusteczki do higieny intymnej SENSITIV - 10 szt | SENI SOFT SUPER - Podkłady higieniczne 40x60cm - (5 sztuk) | Nakładka sedesowa jednorazowa - 1 szt. | Ziaja - Płyn do higieny intymnej - Mamma Mia - 300 ml | AKUKU A0069 - Podkład poporodowy - SLIM",True,
Dziecięca chemia gospodarcza,Płyny do mycia smoczków i butelek,dziecieca-chemia-gospodarcza,plyny-do-mycia-smoczkow-i-butelek,Dziecięce środki do prania,Płyny do mycia smoczków i butelek | MamaPack,Delikatne środki do prania ubranek niemowlęcych. Zapewniają czystość i bezpieczeństwo.,"Delikatne płyny do mycia butelek, smoczków i akcesoriów dziecięcych. Higiena karmienia od pierwszych dni.",1,CANPOL 1/500 - Ekologiczny PŁYN do mycia smoczków i butelek - (500 ml),True,
Gotowe torby do szpitala,Gotowe torby do szpitala,gotowe-torby-do-szpitala,gotowe-torby-do-szpitala,Gotowe torby do szpitala dla mamy i dziecka | MamaPack,Gotowe torby do szpitala dla mamy i dziecka | MamaPack,"Gotowe torby do szpitala dla mamy, noworodka lub mamy i dziecka. Wybierz wyprawkę podstawową, rozszerzoną, kompletną albo premium w MamaPack.","Gotowe torby do szpitala dla mamy, noworodka lub mamy i dziecka. Wybierz wyprawkę podstawową, rozszerzoną albo premium.",12,Torba do szpitala dla noworodka - gotowa wyprawka PREMIUM | Torba do szpitala dla MAMY – gotowa wyprawka Premium | Torba do szpitala dla DLA MAMY I NOWORODKA – gotowa wyprawka ROZSZERZONA | Torba do szpitala dla noworodka - gotowa wyprawka KOMPLETNA | Torba do szpitala dla noworodka - gotowa wyprawka ROZSZERZONA | Torba do szpitala dla noworodka - gotowa wyprawka PODSTAWOWA | Torba do szpitala dla MAMY – gotowa wyprawka PODSTAWOWA | Torba do szpitala dla MAMY i NOWORODKA – gotowa wyprawka PREMIUM,True,
Gumowe klapki / Skarpetki,Klapki i skarpetki dla mamy,gumowe-klapki,klapki-i-skarpetki-dla-mamy,,Klapki i skarpetki dla mamy do szpitala | MamaPack,,Gumowe klapki pod prysznic i wygodne skarpetki dla mamy. Praktyczne dodatki do torby do szpitala.,7,Klapki damskie – Brązowy | Klapki damskie - Różowy | Klapki damskie - Biały | Klapki damskie - Żółty | Skarpety damskie (GREY SWAN) - Doctor Nap | Skarpety damskie (COSMOS) Best Mom - Doctor Nap | Skarpety damskie (FLAMINGO) Best Mom - Doctor Nap,True,
Higiena intymna,Higiena intymna po porodzie,higiena-intymna,higiena-intymna-po-porodzie,Delikatne mydło do higieny intymnej,Higiena intymna po porodzie | MamaPack,Delikatna pielęgnacja po zabiegach oczyszczających i w okresie poporodowym. Idealne do dbania o higienę intymną.,"Płyny, chusteczki, butelki peri i kompresy do higieny intymnej po porodzie. Delikatna pielęgnacja w połogu.",8,BELLA chusteczki do higieny intymnej SENSITIV - 10 szt | AKUKU A0684 -  Butelka do podmywania - Peri - (350 ml) | Ziaja - Płyn do higieny intymnej - Mamma Mia - 300 ml | AKUKU A0683K - Kompres - ŻELOWY - do okolic intymnych | LANSINOH PERICARE -  Wkładki ŻELOWE poporodowe Therapearl | SKARB MATKI-FEMINA - Pianka do Higieny Intymnej - 250ml | BIAŁY JELEŃ Premium Hipoalergiczna emulsja do HIGIENY INTYMNEJ Z SZAŁWIĄ I OGÓRECZNIKIEM 265ml | BIAŁY JELEŃ hipoalergiczna emulsja do HIGIENY INTYMNEJ KOZIE MLEKO 265ml,True,
