url,type,status,lang,title,title_len,description,description_len,has_description,robots,canonical,self_canonical,h1_count,h1s,missing_h1,multi_h1,viewport,hreflang_count,schema_types,has_product_schema,has_article_schema,has_offer_schema,text_words,copy_like_url,variant_like_url,priority_flag
https://mamapack.pl/,home,200,pl,Wyprawka do szpitala dla mamy i noworodka - Gotowe torby do porodu – mamapack,77,"Gotowe torby do szpitala dla mamy i dziecka. Wyprawka dla noworodka. Lista rzeczy i torba do porodu. Kompleksowe zestawy do porodu. Wszystko, czego potrzebujesz w szpitalu dla mamy i noworodka. Najlepsza wyprawka do porodu i na pierwsze dni życia dziecka. Komfort i wygoda z gotowymi torbami do szpitala.",304,1,,https://mamapack.pl/,1,0,,1,0,1,0,Organization | SearchAction | WebSite,0,0,0,747,0,0,missing_h1 | long_title | long_desc
https://mamapack.pl/products/bocioland-bl151-podklad-jenorazowy-60x90-cm-op-10-szt,products,200,pl,Jednorazowe podkłady Bocioland 60x90 cm - 10 sztuk – mamapack,61,"Chłonne podkłady higieniczne Bocioland 60x90 cm zapewniają komfort i suchość. Idealne do przewijania niemowląt, ochrony materacy i dla kobiet w okresie połogu. Wykonane z miękkiej włókniny, przyjazne dla skóry, niezastąpione w domu i podróży",241,1,,https://mamapack.pl/products/bocioland-bl151-podklad-jenorazowy-60x90-cm-op-10-szt,1,1,Bocioland - PODKŁAD JENORAZOWY - 60X90cm - (10szt),0,0,1,0,Brand | Offer | Organization | Product,1,0,1,699,0,0,long_desc
https://mamapack.pl/products/bella-podkl-a-5szt-hig-40x60-seni-soft-super,products,200,pl,Podkłady higieniczne Bella Seni Soft Super 40x60 cm - 5 sztuk – mamapack,72,"Podkłady higieniczne Bella Seni Soft Super 40x60 cm. Chłonne, z miękką włókniną wierzchnią, idealne do ochrony materacy i przewijania niemowląt. Dzięki antypoślizgowej folii są wygodne i zapewniają dodatkową ochronę przed zawilgoceniem. Opakowanie: 5 sztuk​",257,1,,https://mamapack.pl/products/bella-podkl-a-5szt-hig-40x60-seni-soft-super,1,1,SENI SOFT SUPER - Podkłady higieniczne 40x60cm - (5 sztuk),0,0,1,0,Brand | Offer | Organization | Product,1,0,1,559,0,0,long_title | long_desc
https://mamapack.pl/products/horizon-majtki-poporodowe-siatka-38-40-a-2szt,products,200,pl,Siateczkowe majtki poporodowe Horizon 38-40 - 2 sztuki – mamapack,65,"Oddychające, siateczkowe majtki poporodowe Horizon rozmiar 38-40. Wygodne i elastyczne, idealne na czas połogu, wspomagają gojenie ran i utrzymują podkłady higieniczne na miejscu. Przeznaczone do wielokrotnego użytku, można je prać w pralce. Opakowanie: 2 sztuki",262,1,,https://mamapack.pl/products/horizon-majtki-poporodowe-siatka-38-40-a-2szt,1,1,HORIZON-MAJTKI POPORODOWE SIATKA (2 szt.),0,0,1,0,Organization,0,0,0,336,0,0,missing_product_schema | long_desc
https://mamapack.pl/products/ola-baby-chusteczki-nawilzane-z-alantoli-na-a-72szt,products,200,pl,Chusteczki nawilżane Ola Baby z alantoiną - 72 sztuki – mamapack,64,"Delikatne chusteczki nawilżane Ola Baby Everyday z alantoiną idealne do pielęgnacji wrażliwej skóry niemowląt i dzieci. Nawilżają, łagodzą podrażnienia, a ich łagodna formuła utrzymuje fizjologiczne pH skóry. Doskonałe podczas przewijania, karmienia i zabawy w domu i na zewnątrz​",280,1,,https://mamapack.pl/products/ola-baby-chusteczki-nawilzane-z-alantoli-na-a-72szt,1,1,OLA BABY - Chusteczki nawilżane z alantoiną - (72 szt.),0,0,1,0,Brand | Offer | Organization | Product,1,0,1,438,0,0,long_desc
https://mamapack.pl/products/me-figi-l-bialy,products,200,pl,"Figi poporodowe ME L - białe, wygodne i oddychające – mamapack",62,"Figi poporodowe ME w rozmiarze L, wykonane z oddychającego materiału, idealne na czas połogu. Zapewniają komfort i higienę, delikatne dla skóry, pomagają w utrzymaniu podkładów poporodowych na miejscu. Niezbędny produkt w torbie dla przyszłej mamy.",248,1,,https://mamapack.pl/products/me-figi-l-bialy,1,2,Majtki ciążowe Medela - Rozmiar L | Majtki ciążowe Medela - Rozmiar L,0,1,1,0,Brand | Offer | Organization | Product,1,0,1,524,0,0,multi_h1 | long_desc
https://mamapack.pl/products/chicco-916500-chusteczki-do-pielegnacji-piersi-16szt,products,200,pl,Chusteczki pielęgnacyjne Chicco do piersi - 72 sztuki – mamapack,64,"Chusteczki Chicco do pielęgnacji piersi, idealne do stosowania przed i po karmieniu. Zawierają witaminę E, białko pszenicy, glicerynę i prebiotyk Biolin, wspierając naturalną ochronę skóry. Bez parabenów, alkoholu i zapachów. Bezpieczne dla mamy i dziecka, nie wymagają spłukiwania​",282,1,,https://mamapack.pl/products/chicco-916500-chusteczki-do-pielegnacji-piersi-16szt,1,1,CHICCO- CHUSTECZKI DO PIELĘGNACJI PIERSI 16SZT,0,0,1,0,Brand | Offer | Organization | Product,1,0,1,501,0,0,long_desc
https://mamapack.pl/products/chicco-916310-chusteczki-pielegnacyjne-72szt-0m,products,200,pl,Chusteczki pielęgnacyjne Chicco 0M+ - 72 sztuki – mamapack,58,"Chusteczki nawilżane Chicco 0M+ przeznaczone do delikatnej pielęgnacji skóry niemowląt. Zawierają ekstrakt z aloesu i rumianku, które łagodzą i nawilżają skórę. Idealne do przewijania, a także do oczyszczania twarzy i rączek dziecka. Odpowiednie od pierwszego dnia życia​",271,1,,https://mamapack.pl/products/chicco-916310-chusteczki-pielegnacyjne-72szt-0m,1,1,CHICCO - Chusteczki Pielęgnacyjne - (72szt) 0m+,0,0,1,0,Brand | Offer | Organization | Product,1,0,1,490,0,0,long_desc
https://mamapack.pl/products/chicco-916600-chusteczki-do-pielegnacji-piersi-72szt,products,200,pl,"Chusteczki pielęgnacyjne Chicco 0M+ - delikatne i bezpieczne, 72 sztuki – mamapack",82,"Nawilżane chusteczki Chicco 0M+ przeznaczone do delikatnej pielęgnacji skóry niemowląt. Zawierają ekstrakt z aloesu i rumianku, nawilżają i łagodzą podrażnienia. Idealne podczas przewijania oraz do codziennego oczyszczania wrażliwej skóry od pierwszych dni życia",262,1,,https://mamapack.pl/products/chicco-916600-chusteczki-do-pielegnacji-piersi-72szt,1,1,CHICCO- CHUSTECZKI DO PIELĘGNACJI PIERSI 72SZT,0,0,1,0,Brand | Offer | Organization | Product,1,0,1,461,0,0,long_title | long_desc
https://mamapack.pl/products/kindii-patyczki-a-60szt-pudelko-pure,products,200,pl,Patyczki higieniczne Kindii Pure dla dzieci - 60 sztuk – mamapack,65,"Delikatne patyczki higieniczne Kindii Pure, idealne do pielęgnacji niemowląt. Specjalnie profilowana główka z ogranicznikiem zapewnia bezpieczeństwo i komfort przy czyszczeniu oczu, uszu, nosa oraz pępka dziecka. Wykonane ze 100% bawełny, odpowiednie od pierwszych dni życia",274,1,,https://mamapack.pl/products/kindii-patyczki-a-60szt-pudelko-pure,1,1,KINDII PURE KIN000017 - PATYCZKI dla niemowląt (60szt.),0,0,1,0,Brand | Offer | Organization | Product,1,0,1,490,0,0,long_desc
