title,handle,id,legacyResourceId,description_chars,description,has_center_width,has_max_width,has_heading,has_product_sample
Akcesoria dla mam,akcesoria-dla-mam,gid://shopify/Collection/631440703821,631440703821,343,"Na co zwrócić uwagę? Dodatkowe akcesoria dla mamy pomagają wygodnie przygotować pobyt w szpitalu i pierwsze dni po porodzie. Zastosowanie: wybierz rzeczy do higieny, organizacji i codziennego komfortu. Wygoda: stawiaj na produkty proste w użyciu i łatwe do spakowania. Pakowanie: sprawdź, czego brakuje w gotowej torbie albo na własnej liście.",True,True,True,True
Akcesoria do paznokci,pielegnacja-w-domu,gid://shopify/Collection/621645070669,621645070669,339,"Na co zwrócić uwagę? Akcesoria do paznokci pomagają bezpiecznie zadbać o delikatną pielęgnację niemowlęcia w domu. Bezpieczeństwo: wybieraj zaokrąglone końcówki i produkty dedykowane dzieciom. Wygoda: małe nożyczki, cążki lub pilniczek powinny dobrze leżeć w dłoni. Moment: najłatwiej pielęgnować paznokcie po kąpieli albo gdy dziecko śpi.",True,True,True,True
Butelki ze smoczkiem,smoczki-do-butelek-butelki,gid://shopify/Collection/621645005133,621645005133,345,"Na co zwrócić uwagę? Butelki i smoczki do butelek przydają się przy mleku odciągniętym, mieszance albo jako zapas w domu. Pojemność: dobierz butelkę do wieku dziecka i planowanego sposobu karmienia. Smoczek: sprawdź przepływ, kształt i materiał dopasowany do potrzeb maluszka. Higiena: wybieraj produkty łatwe do mycia, składania i sterylizacji.",True,True,True,True
Chusteczki nawilżane,wlokniaste-chusteczki,gid://shopify/Collection/621644349773,621644349773,336,"Na co zwrócić uwagę? Chusteczki nawilżane pomagają szybko odświeżyć skórę dziecka między kąpielami i przy zmianie pieluszki. Skład: najlepiej wybierać wersje bezzapachowe i łagodne dla skóry. Zastosowanie: przydają się do fałdek, buzi i okolic pieluszki poza pełną kąpielą. Delikatność: po użyciu warto osuszyć skórę miękkim ręcznikiem.",True,True,True,True
Dla dziecka,forbaby,gid://shopify/Collection/616586740045,616586740045,331,"Na co zwrócić uwagę? Produkty dla dziecka pomagają skompletować codzienną pielęgnację, higienę i najważniejsze akcesoria. Pielęgnacja: wybieraj delikatne produkty odpowiednie od pierwszych dni. Praktyczność: sprawdź rzeczy do kąpieli, przewijania, karmienia i spaceru. Dobór: dopasuj produkty do wieku dziecka i aktualnych potrzeb.",True,True,True,True
Dla mamy,formam,gid://shopify/Collection/616586772813,616586772813,334,"Na co zwrócić uwagę? Produkty dla mamy wspierają komfort, higienę i codzienną pielęgnację w wymagającym czasie. Komfort: wybieraj rzeczy, które ułatwiają pobyt w szpitalu i pierwsze dni w domu. Higiena: zadbaj o produkty do pielęgnacji intymnej, piersi i ciała. Pakowanie: uzupełnij torbę o drobiazgi, które realnie poprawiają wygodę.",True,True,True,True
Dziecięca chemia gospodarcza,dziecieca-chemia-gospodarcza,gid://shopify/Collection/621645103437,621645103437,328,"Na co zwrócić uwagę? Delikatne środki do prania pomagają przygotować ubranka, pieluszki i tekstylia dziecięce przed użyciem. Skład: wybieraj produkty przeznaczone dla dzieci i wrażliwej skóry. Pranie: wypierz rzeczy wcześniej, zgodnie z zaleceniami na metce. Zapas: warto mieć środek do regularnego prania już od pierwszych dni.",True,True,True,True
Gotowe torby do szpitala,gotowe-torby-do-szpitala,gid://shopify/Collection/660530626893,660530626893,353,"Na co zwrócić uwagę? Gotowe torby do szpitala pomagają szybko przygotować najważniejsze rzeczy dla mamy, dziecka albo obu razem. Zakres: wybierz zestaw podstawowy, rozszerzony, kompletny albo premium. Zawartość: sprawdź listę produktów i dopasuj ją do wymagań szpitala. Termin: torbę najlepiej mieć gotową wcześniej, bez kompletowania na ostatni moment.",True,True,True,True
Gumowe klapki / Skarpetki,gumowe-klapki,gid://shopify/Collection/632003035469,632003035469,316,"Na co zwrócić uwagę? Klapki i skarpetki zwiększają komfort mamy podczas pobytu w szpitalu i po porodzie. Klapki: przydadzą się pod prysznic, na oddziale i do szybkiego zakładania. Skarpetki: warto mieć miękką parę na chłodniejsze dni i odpoczynek. Materiał: stawiaj na wygodę, lekkość i łatwe utrzymanie w czystości.",True,True,True,True
Higiena intymna,higiena-intymna,gid://shopify/Collection/621642776909,621642776909,327,"Na co zwrócić uwagę? Produkty do higieny intymnej pomagają zadbać o delikatną pielęgnację w szpitalu i w połogu. Skład: wybieraj łagodne formuły bez drażniących dodatków. Użycie: przydają się po skorzystaniu z toalety i przy codziennej pielęgnacji. Komfort: butelka peri, chusteczki lub delikatny płyn mogą ułatwić regenerację.",True,True,True,True
